artist_id,artist_name,artist_main_genre,artist_active_start
496525,Moondog,Avant-Garde,1950
186927,Harold Budd,Avant-Garde,1960
406733,Meredith Monk,Avant-Garde,1960
750519,Terry Riley,Avant-Garde,1960
475362,Arthur Russell,Avant-Garde,1970
785773,Laurie Anderson,Avant-Garde,1970
467749,Peggy Lee,Avant-Garde,1990
3214680,Boyzone,Avant-Garde,2000
3829,T-Bone Walker,Blues,1930
49806,Blind Boy Fuller,Blues,1930
60679,Big Joe Williams,Blues,1930
64817,Big Walter Horton,Blues,1930
66228,Big Maybelle,Blues,1930
176936,Elmore James,Blues,1930
204714,Johnny Shines,Blues,1930
251210,Pee Wee Crayton,Blues,1930
276085,Howlin' Wolf,Blues,1930
369270,Professor Longhair,Blues,1930
421122,Memphis Slim,Blues,1930
527379,Bukka White,Blues,1930
753094,Son House,Blues,1930
783025,Jimmy Yancey,Blues,1930
825208,Lightnin' Hopkins,Blues,1930
898336,Mississippi Sheiks,Blues,1930
1006782,Sonny Boy Williamson I,Blues,1930
39661,Sonny Terry,Blues,1940
52736,Big Jay McNeely,Blues,1940
59156,B.B. King,Blues,1940
76881,Jimmy Reed,Blues,1940
100854,Jimmy Witherspoon,Blues,1940
129547,"Clarence ""Gatemouth"" Brown",Blues,1940
138837,Joe Liggins,Blues,1940
197040,Champion Jack Dupree,Blues,1940
301955,Lowell Fulson,Blues,1940
490769,Sunnyland Slim,Blues,1940
584695,Willie Johnson,Blues,1940
608701,Muddy Waters,Blues,1940
630882,Brownie McGhee,Blues,1940
748773,Amos Milburn,Blues,1940
762288,Big Mama Thornton,Blues,1940
815039,John Lee Hooker,Blues,1940
819894,Johnny Otis,Blues,1940
824599,Little Walter,Blues,1940
959770,Willie Dixon,Blues,1940
28166,Slim Harpo,Blues,1950
81194,"Bobby ""Blue"" Bland",Blues,1950
115733,J.B. Lenoir,Blues,1950
131841,James Cotton,Blues,1950
135378,James Booker,Blues,1950
150062,Earl Hooker,Blues,1950
186734,Freddie King,Blues,1950
191429,Magic Sam,Blues,1950
225754,Hound Dog Taylor,Blues,1950
238495,John Mayall,Blues,1950
239638,Johnny Jenkins,Blues,1950
242473,Johnny Adams,Blues,1950
242511,"Johnny ""Guitar"" Watson",Blues,1950
274822,Lonnie Mack,Blues,1950
300534,Little Milton,Blues,1950
306446,Junior Kimbrough,Blues,1950
341137,Roy Buchanan,Blues,1950
486305,Junior Parker,Blues,1950
486775,Otis Spann,Blues,1950
611102,Albert Collins,Blues,1950
617844,Albert King,Blues,1950
654490,Guitar Slim,Blues,1950
769616,Jimmy Rogers,Blues,1950
806542,Etta James,Blues,1950
827367,Long John Baldry,Blues,1950
829643,Hubert Sumlin,Blues,1950
894956,Otis Rush,Blues,1950
898331,Mississippi Fred McDowell,Blues,1950
942529,Buddy Guy,Blues,1950
962064,Junior Wells,Blues,1950
16835,The Paul Butterfield Blues Band,Blues,1960
32807,Son Seals,Blues,1960
169856,Luther Allison,Blues,1960
199090,Denise LaSalle,Blues,1960
238506,John Mayall & the Bluesbreakers,Blues,1960
312062,Marvin Sease,Blues,1960
337631,Rory Gallagher,Blues,1960
352524,Jimmy Dawkins,Blues,1960
376739,Koko Taylor,Blues,1960
389213,R.L. Burnside,Blues,1960
491996,A.C. Reed,Blues,1960
790604,Taj Mahal,Blues,1960
819983,Johnny Winter,Blues,1960
44994,Sonny Landreth,Blues,1970
413683,Otis Taylor,Blues,1970
815236,Delbert McClinton,Blues,1970
830425,Robert Cray,Blues,1970
370703,Keb' Mo',Blues,1980
43520,Susan Tedeschi,Blues,1990
744969,Alvin & the Chipmunks,Children's,1950
183867,John Cage,Classical,1930
1528006,Olivier Messiaen,Classical,1930
1950198,Bidu SayÃ£o,Classical,1930
239859,Leonard Bernstein,Classical,1940
731975,Giuseppe di Stefano,Classical,1940
740576,Maria Callas,Classical,1940
803752,Glenn Gould,Classical,1940
151666,Julian Bream,Classical,1950
929776,Arvo PÃ¤rt,Classical,1950
37658,Steve Reich,Classical,1960
579458,Luciano Pavarotti,Classical,1960
757335,John Adams,Classical,1960
849672,Philip Glass,Classical,1960
851639,PlÃ¡cido Domingo,Classical,1960
51740,JosÃ© Carreras,Classical,1970
641626,Cecilia Bartoli,Classical,1980
751613,Andrea Bocelli,Classical,1990
26350,Wolfgang Amadeus Mozart,Classical,2010
278559,Jerry Lewis,Comedy/Spoken,1930
744548,Spike Jones,Comedy/Spoken,1930
611877,Tom Lehrer,Comedy/Spoken,1940
67561,Bob Newhart,Comedy/Spoken,1950
120487,Jack Kerouac,Comedy/Spoken,1950
203804,Victor Borge,Comedy/Spoken,1950
342833,Mel Brooks,Comedy/Spoken,1950
824219,Jonathan Winters,Comedy/Spoken,1950
2273,Allan Sherman,Comedy/Spoken,1960
43444,Steve Martin,Comedy/Spoken,1960
70534,Bill Cosby,Comedy/Spoken,1960
211197,Dick Gregory,Comedy/Spoken,1960
245133,Robert Klein,Comedy/Spoken,1960
245292,Rodney Dangerfield,Comedy/Spoken,1960
295415,Richard Pryor,Comedy/Spoken,1960
364861,Rudy Ray Moore,Comedy/Spoken,1960
492670,Monty Python,Comedy/Spoken,1960
639005,George Carlin,Comedy/Spoken,1960
802264,Cassius Clay,Comedy/Spoken,1960
899198,The Smothers Brothers,Comedy/Spoken,1960
106298,Cheech & Chong,Comedy/Spoken,1970
287860,Robin Williams,Comedy/Spoken,1970
322642,Jello Biafra,Comedy/Spoken,1970
12654,Spinal Tap,Comedy/Spoken,1980
47246,Steven Wright,Comedy/Spoken,1980
142208,Eddie Murphy,Comedy/Spoken,1980
287092,Sam Kinison,Comedy/Spoken,1980
500612,Adam Sandler,Comedy/Spoken,1980
615937,Brian Regan,Comedy/Spoken,1980
238245,Denis Leary,Comedy/Spoken,1990
792051,Bebe Neuwirth,Comedy/Spoken,1990
898946,Mitch Hedberg,Comedy/Spoken,1990
46214,Aunt Molly Jackson,Country,1930
74970,Bob Wills,Country,1930
193160,The Maddox Brothers & Rose,Country,1930
199229,Johnny Bond,Country,1930
200775,Ernest Tubb,Country,1930
246022,Merle Travis,Country,1930
